have_first_name,have_middlename,have_lastname,have_cellphone,have_workphone,have_otherphone,primary_contact,have_email,have_secondary_email,have_address_line1,have_address_line2,city,state,zipcode,Profession,Speciality,experience,available_date,Student,Terms_and_conditions_accepted,Approved,Visible,Referral_Source,application_source,LE_Record_Type,created_date,modified_date,Counts
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Greenwood,Indiana,46143,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:42,7/14/16 9:42,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Petersburg,Florida,33704,SLP,Rehab,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/13/16 10:51,7/13/16 10:51,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Friars Point,Mississippi,38631,NP,Pediatric,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 13:37,7/13/16 13:37,22
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Kennewick,Washington,99337,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 9:52,7/13/16 9:52,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Mcfarland,California,93250,PT,School,25,7/19/16,No,Yes,No,Yes,Jobs2Careers,STAFFDNA,,7/13/16 23:14,7/13/16 23:14,9
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Texas City,Texas,77590,RN,TELE,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 10:26,7/13/16 10:26,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Miami,Florida,33161,RN,Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,5/24/16 9:40,7/13/16 11:02,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Antlers,Oklahoma,74523,RN,PEDS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 12:45,7/13/16 12:45,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Longmeadow,Massachusetts,1106,SLP,Rehab,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/13/16 10:01,7/13/16 10:01,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lawrenceville,New Jersey,8648,RN,Rehab,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 11:05,7/13/16 11:05,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Newark,Ohio,43056,RN,ONCOLOGY,7,8/22/16,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,7/13/16 14:21,7/13/16 14:21,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Stockton,California,95212,RN,Director,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 10:34,7/13/16 10:34,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Dayton,Ohio,45424,RN,Case Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 12:59,7/13/16 12:59,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Corinth ,Texas,76210,RN,ER,3,8/1/16,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,7/13/16 2:45,7/13/16 2:45,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Columbus,Georgia,31907,RN,TELE,6,8/11/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:04,7/13/16 11:44,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Toledo,Ohio,43613,SLP,Rehab,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/13/16 19:02,7/13/16 19:02,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Hollywood,Florida,33021,NP,OB GYN,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/13/16 10:11,7/13/16 10:11,3
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Glendale,Arizona,85308,NP,Cardiology,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 12:05,7/13/16 12:05,4
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Montgomery,Alabama,36117,RN,Case Manager,,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 10:49,7/13/16 11:46,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Birmingham,Alabama,35211,SLP,Rehab,,,No,No,No,Yes,Health Jobs,LABOR_EDGE,PROSPECT,9/19/15 10:49,7/13/16 9:47,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,East Orange,New Jersey,7017,RN,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 10:51,7/13/16 10:51,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Pensacola,Florida,32507,RN,DIALYSIS,21,,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,PROSPECT,6/30/16 11:17,7/13/16 15:47,26
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Brooklyn,New York,11230,RN,PSYCH,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/13/16 13:34,7/13/16 13:34,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Erie,Pennsylvania,16505,OT,Rehab,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/13/16 9:51,7/13/16 9:51,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Smicksburg,Pennsylvania,16256,RN,Home Health,23,8/29/16,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,7/13/16 22:11,7/13/16 22:11,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Temple,Texas,76502,NP,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/13/16 10:24,7/13/16 10:24,
